"IT_DATETIME","DS_CODE","DS_NAME","DS_DESC","DS_LAT","DS_LON","DS_ALT","BGN.S","BGN.Q_S"
"20130101_240000_000000","561_N","Benschop","Neerslagstation (8-8)","52.001528","4.935111","-1","0","0"
"20130101_240000_000000","562_N","Tiel","Neerslagstation (8-8)","51.930417","5.444167","3.9","0","0"
"20130101_240000_000000","563_N","Weesp","Neerslagstation (8-8)","52.303639","5.03625","-1.5","0","0"
"20130101_240000_000000","564_N","Hulshorst","Neerslagstation (8-8)","52.355322","5.704917","4.3","0","0"
"20130101_240000_000000","565_N","Voorthuizen","Neerslagstation (8-8)","52.180436","5.612708","13.7","0","0"
"20130101_240000_000000","567_N","Kootwijk radio","Neerslagstation (8-8)","52.174167","5.828278","44","0","1"
"20130101_240000_000000","569_N","Heumen","Neerslagstation (8-8)","51.767333","5.840806","10.3","0","0"
"20130101_240000_000000","570_N","Elspeet","Neerslagstation (8-8)","52.296944","5.781917","28.54","0","0"
"20130101_240000_000000","571_N","Harskamp","Neerslagstation (8-8)","52.151167","5.730194","22.48","0","0"
"20130101_240000_000000","572_N","Abcoude","Neerslagstation (8-8)","52.260833","4.979417","-1.7","0","0"
"20130101_240000_000000","573_N","Beekbergen","Neerslagstation (8-8)","52.164111","5.958639","25","0","0"
"20130101_240000_000000","576_N","Spakenburg","Neerslagstation (8-8)","52.249694","5.380222","-.41","0","0"
"20130101_240000_000000","578_N","Oosterbeek","Neerslagstation (8-8)","52.015722","5.827889","37.71","0","0"
"20130101_240000_000000","579_N","Veenendaal","Neerslagstation (8-8)","52.026667","5.589917","6.4","0","1"
"20130101_240000_000000","580_N","Barneveld","Neerslagstation (8-8)","52.14125","5.566583","9.9","0","0"
"20130101_240000_000000","582_N","Hamersveld","Neerslagstation (8-8)","52.146778","5.440111","2.2","0","1"
"20130101_240000_000000","583_N","Wageningen PD","Neerslagstation (8-8)","51.989917","5.654944","8.6","0","1"
"20130101_240000_000000","584_N","Geldermalsen","Neerslagstation (8-8)","51.873722","5.272556","2.8","0","1"
"20130101_240000_000000","588_N","Duiven","Neerslagstation (8-8)","51.953944","6.027611","10.5","0","0"
"20130101_240000_000000","589_N","Zetten","Neerslagstation (8-8)","51.937778","5.705722","7.8","0","1"
"20130101_240000_000000","591_N","Deelen","Neerslagstation (8-8)","52.070278","5.900611","75","0","0"
"20130101_240000_000000","593_N","Laren","Neerslagstation (8-8)","52.246056","5.227278","4.6","0","1"
"20130101_240000_000000","595_N","Soest","Neerslagstation (8-8)","52.161778","5.324333","4.06","0","0"
"20130101_240000_000000","596_N","Eemnes","Neerslagstation (8-8)","52.276111","5.276389","0","0","0"
"20130101_240000_000000","645_N","Hengelo","Neerslagstation (8-8)","52.068833","6.302389","10.7","0","0"
"20130101_240000_000000","663_N","Lochem","Neerslagstation (8-8)","52.154522","6.376578","11.8","0","1"
"20130101_240000_000000","664_N","Almelo","Neerslagstation (8-8)","52.348722","6.669028","12.5","0","1"
"20130101_240000_000000","665_N","Enschede","Neerslagstation (8-8)","52.195444","6.925306","54.5","0","0"
"20130101_240000_000000","666_N","Winterswijk Sibinkweg","Neerslagstation (8-8)","51.9625","6.679222","28.8","0","0"
"20130101_240000_000000","667_N","Doetinchem","Neerslagstation (8-8)","51.991528","6.288111","11","0","0"
"20130101_240000_000000","668_N","Hengelo (O)","Neerslagstation (8-8)","52.267361","6.760528","15.4","0","1"
"20130101_240000_000000","669_N","Borculo","Neerslagstation (8-8)","52.092308","6.532753","16.95","0","0"
"20130101_240000_000000","670_N","Twenthe","Neerslagstation (8-8)","52.256417","6.909611","43.09","0","0"
"20130101_240000_000000","672_N","Hellendoorn","Neerslagstation (8-8)","52.388139","6.450306","10","0","1"
"20130101_240000_000000","673_N","Gendringen","Neerslagstation (8-8)","51.867583","6.366472","15.4","0","0"
"20130101_240000_000000","674_N","Rekken","Neerslagstation (8-8)","52.093389","6.723972","25.8","0","0"
"20130101_240000_000000","675_N","Weerselo","Neerslagstation (8-8)","52.353639","6.867167","19.4","0","0"
"20130101_240000_000000","678_N","Almen","Neerslagstation (8-8)","52.156889","6.31425","10.1","0","0"
"20130101_240000_000000","679_N","Herwen","Neerslagstation (8-8)","51.880306","6.101028","12.7","0","0"
"20130101_240000_000000","680_N","Aalten","Neerslagstation (8-8)","51.912283","6.568892","23.39","0","1"
"20130101_240000_000000","681_N","Lettele","Neerslagstation (8-8)","52.271889","6.273444","8.1","0","0"
"20130101_240000_000000","682_N","Markelo","Neerslagstation (8-8)","52.241444","6.487778","16.9","0","1"
"20130101_240000_000000","683_N","Lichtenvoorde","Neerslagstation (8-8)","51.998139","6.561528","19.5","0","1"
"20130101_240000_000000","684_N","Lievelde","Neerslagstation (8-8)","52.005722","6.641972","30.72","0","0"
"20130101_240000_000000","686_N","Woold","Neerslagstation (8-8)","51.919944","6.738222","48.5","0","0"
"20130101_240000_000000","687_N","Holten","Neerslagstation (8-8)","52.309833","6.461611","21.6","0","0"
"20130101_240000_000000","688_N","Hupsel","Neerslagstation (8-8)","52.067222","6.639417","26.53","0","0"
"20130101_240000_000000","689_N","Deventer","Neerslagstation (8-8)","52.257111","6.217167","6.75","0","0"
"20130101_240000_000000","705_N","Breskens","Neerslagstation (8-8)","51.396556","3.545667","1.74","0","1"
"20130101_240000_000000","733_N","Ritthem","Neerslagstation (8-8)","51.459444","3.6125","7","0","0"
"20130101_240000_000000","735_N","Kapelle","Neerslagstation (8-8)","51.482194","3.949444","3.31","0","0"
"20130101_240000_000000","736_N","Brouwershaven","Neerslagstation (8-8)","51.73425","3.8835","-1.3","0","0"
"20130101_240000_000000","737_N","Kerkwerve","Neerslagstation (8-8)","51.67975","3.856972","-1.5","0","0"
"20130101_240000_000000","738_N","Biervliet","Neerslagstation (8-8)","51.331889","3.688167","2.1","0","0"
"20130101_240000_000000","740_N","St Kruis","Neerslagstation (8-8)","51.272889","3.496056","1.93","0","0"
"20130101_240000_000000","741_N","Stavenisse","Neerslagstation (8-8)","51.590417","4.020722","1.6","0","0"
"20130101_240000_000000","742_N","Terneuzen","Neerslagstation (8-8)","51.305639","3.862222","1.84","0","1"
"20130101_240000_000000","743_N","Noordgouwe","Neerslagstation (8-8)","51.698833","3.965222","-.8","0","0"
"20130101_240000_000000","744_N","Anna Jacoba Polder","Neerslagstation (8-8)","51.639861","4.123944","1","0","0"
"20130101_240000_000000","746_N","Westkapelle","Neerslagstation (8-8)","51.533028","3.442306","3.04","0","0"
"20130101_240000_000000","747_N","Krabbendijke","Neerslagstation (8-8)","51.442417","4.095472","1.8","0","0"
"20130101_240000_000000","749_N","Wilhelminadorp","Neerslagstation (8-8)","51.530306","3.893917","1.8","0","0"
"20130101_240000_000000","750_N","Rilland","Neerslagstation (8-8)","51.422444","4.179972","1.3","0","0"
"20130101_240000_000000","751_N","Vrouwenpolder","Neerslagstation (8-8)","51.587056","3.58375","16.2","0","0"
