"IT_DATETIME","DS_CODE","Q","DS_LON","DS_LAT","SAT","DIFF"
"2010-09-12","319_H",121.643518518519,48398.2276413979,360597.580586119,54.1478640204901,-67.4956544980284
"2010-09-12","323_H",122.685185185185,51814.452727588,394869.822515975,30.1274550485979,-92.5577301365873
"2010-09-12","330_H",120.023148148148,68078.9378130265,445503.769950935,20.7798301440853,-99.2433180040629
"2010-09-12","344_H",110.185185185185,90374.9934217709,441765.314902848,33.9165730463808,-76.2686121388044
"2010-09-13","210_H",167.939814814815,89480.01953647,465113.018934339,103.38781136656,-64.5520034482549
"2010-09-13","260_H",139.12037037037,140783.296337002,456758.217135819,60.6963084889222,-78.4240618814482
"2010-09-13","319_H",165.277777777778,48398.2276413979,360597.580586119,93.5482485622875,-71.7295292154902
"2010-09-13","323_H",177.430555555556,51814.452727588,394869.822515975,87.5606598094305,-89.869895746125
"2010-09-13","344_H",169.212962962963,90374.9934217709,441765.314902848,100.089365522129,-69.1235974408337
"2010-09-13","348_H",151.50462962963,123295.168771252,442405.899488456,70.0883878049785,-81.4162418246511
"2010-09-13","350_H",155.208333333333,123664.975782146,397437.07360507,89.4260787963867,-65.7822545369466
"2010-09-13","377_H",151.967592592593,181233.068667045,356430.069475497,89.0048146539277,-62.9627779386649
"2012-02-04","210_H",101.273148148148,89480.01953647,465113.018934339,39.9557417305845,-61.3174064175637
"2012-02-04","240_H",111.458333333333,114260.677736725,481197.802257931,31.1878840188326,-80.2704493145008
"2012-02-04","249_H",96.1805555555556,127363.134926821,517331.718529087,12.5762045850528,-83.6043509705027
"2012-02-04","260_H",104.050925925926,140783.296337002,456758.217135819,39.4372323309127,-64.6136935950132
"2012-02-04","269_H",89.0046296296296,164007.270525333,496615.361243678,22.2866614230144,-66.7179682066152
"2012-02-04","273_H",92.7083333333333,188816.779568466,523954.40147084,23.6887177198472,-69.0196156134862
"2012-02-04","348_H",107.87037037037,123295.168771252,442405.899488456,23.5062318879622,-84.3641384824082
